,ts,device,val
9377,1540540436949,area1,347090.4814936752
9378,1540540437011,area2,673257.24201702
9379,1540540437870,area1,347090.48555579036
9380,1540540438449,area2,673257.2605334793
9381,1540540438964,area2,673257.2651340177
9382,1540540439386,area1,347090.4911456584
9383,1540540439855,area1,347090.4935707384
9384,1540540439980,area2,673257.2768008425
9385,1540540441199,area2,673257.2902884495
9386,1540540441231,area1,347090.4982462528
9387,1540540441856,area2,673257.2995826544
9388,1540540442091,area1,347090.50211289444
9389,1540540442903,area1,347090.5063185752
9390,1540540443562,area2,673257.3176516937
9391,1540540443952,area1,347090.5152891656
9392,1540540444452,area2,673257.3289078256
9393,1540540445317,area1,347090.5237995456
9394,1540540445442,area2,673257.3399887057
9395,1540540445867,area2,673257.3442554282
9396,1540540446776,area1,347090.52928581124
9397,1540540447135,area1,347090.5310328064
9398,1540540447417,area2,673257.3604069904
9399,1540540448012,area1,347090.5356064064
9400,1540540448293,area2,673257.3716662944
9401,1540540448996,area1,347090.5395803064
9402,1540540449277,area2,673257.3827624711
9403,1540540450405,area2,673257.3943073057
9404,1540540450826,area1,347090.54751400877
9405,1540540451499,area2,673257.4093590329
9406,1540540451530,area1,347090.5506338992
9407,1540540452186,area1,347090.5530873201
9408,1540540452858,area2,673257.4248949368
9409,1540540453045,area2,673257.4270376856
9410,1540540453530,area1,347090.5587558784
9411,1540540454280,area1,347090.5619997264
9412,1540540454549,area2,673257.4434811112
9413,1540540455315,area1,347090.5661293473
9414,1540540455659,area2,673257.45732434
9415,1540540456034,area1,347090.5687655536
9416,1540540456456,area2,673257.4666202121
9417,1540540457253,area1,347090.5742832504
9418,1540540457300,area2,673257.4757263488
9419,1540540458166,area2,673257.4849585503
9420,1540540458478,area1,347090.5792029592
9421,1540540459400,area2,673257.4987717945
9422,1540540459525,area1,347090.5872205352
9423,1540540460590,area1,347090.59605806
9424,1540540460668,area2,673257.5156214193
9425,1540540461215,area2,673257.5200808656
9426,1540540461434,area1,347090.600333872
9427,1540540462529,area1,347090.6044137288
9428,1540540462591,area2,673257.5363413128
9429,1540540463685,area1,347090.6094114088
9430,1540540463951,area2,673257.5529922976
9431,1540540464721,area1,347090.6135233536
9432,1540540464846,area2,673257.5648509344
9433,1540540465065,area1,347090.6151344504
9434,1540540465408,area2,673257.5694845057
9435,1540540466033,area1,347090.6191861584
9436,1540540466567,area2,673257.5837038865
9437,1540540467411,area1,347090.6239598232
9438,1540540467754,area2,673257.5977299017
9439,1540540468364,area2,673257.6046848769
9440,1540540468426,area1,347090.6289193912
9441,1540540469192,area1,347090.6314139336
9442,1540540469520,area2,673257.6193524008
9443,1540540470286,area1,347090.6375244297
9444,1540540470442,area2,673257.63068848
9445,1540540471617,area1,347090.6414410264
9446,1540540471852,area2,673257.6467446928
9447,1540540472086,area1,347090.6437037832
9448,1540540472289,area2,673257.6514996593
9449,1540540473477,area2,673257.6654765648
9450,1540540473899,area1,347090.6508422816
9451,1540540474180,area2,673257.6723049392
9452,1540540474461,area1,347090.6531818568
9453,1540540475274,area2,673257.6859679479
9454,1540540475321,area1,347090.6589213632
9455,1540540476414,area1,347090.6677701497
9456,1540540476789,area2,673257.7022332753
9457,1540540477414,area1,347090.6732560936
9458,1540540477914,area2,673257.7156460001
9459,1540540478086,area1,347090.67639353924
9460,1540540478711,area2,673257.7246943192
9461,1540540479414,area2,673257.7338224608
9462,1540540479742,area1,347090.6826125736
9463,1540540480274,area2,673257.7428510983
9464,1540540480696,area1,347090.6867150057
9465,1540540481211,area2,673257.7539478184
9466,1540540481399,area1,347090.6891202256
9467,1540540482117,area2,673257.763079028
9468,1540540482352,area1,347090.69306663924
9469,1540540483324,area1,347090.69699390966
9470,1540540483402,area2,673257.7767754409
9471,1540540484199,area2,673257.7861397921
9472,1540540484732,area1,347090.702410804
9473,1540540485107,area2,673257.798566552
9474,1540540485685,area1,347090.7066104688
9475,1540540486295,area2,673257.8134275824
9476,1540540486514,area1,347090.7101291848
9477,1540540487342,area1,347090.7139039544
9478,1540540487764,area2,673257.8297156432
9479,1540540488266,area2,673257.8368735176
9480,1540540488313,area1,347090.71765246557
9481,1540540489440,area2,673257.8516321664
9482,1540540489612,area1,347090.72209645517
9483,1540540490379,area2,673257.8613880472
9484,1540540490663,area1,347090.7278094184
9485,1540540491700,area2,673257.8781418727
9486,1540540491528,area1,347090.7343711088
9487,1540540492184,area1,347090.7396554448
9488,1540540492903,area2,673257.8925656921
9489,1540540493653,area2,673257.9022795657
9490,1540540493794,area1,347090.748485336
9491,1540540494606,area1,347090.7516785488
9492,1540540494685,area2,673257.9147968865
9493,1540540495799,area1,347090.7566346392
9494,1540540495877,area2,673257.929614804
9495,1540540496205,area1,347090.7584411328
9496,1540540496487,area2,673257.9371804903
9497,1540540499191,area2,673257.9694274864
9498,1540540497596,area2,673257.9494295529
9499,1540540497737,area1,347090.76577513444
9500,1540540498503,area1,347090.7689463728
9501,1540540498909,area2,673257.9669612928
9502,1540540499222,area1,347090.772464208
9503,1540540500209,area1,347090.7770863464
9504,1540540500772,area2,673257.989128841
9505,1540540501196,area2,673257.9964243647
9506,1540540501321,area1,347090.7808218808
9507,1540540502744,area1,347090.786022932
9508,1540540502915,area2,673258.01581652
9509,1540540503884,area2,673258.0273782712
9510,1540540504293,area1,347090.7924570848
9511,1540540504450,area2,673258.0350346968
9512,1540540505012,area1,347090.7948207384
9513,1540540505309,area2,673258.0456201489
9514,1540540505793,area1,347090.7979768424
9515,1540540506622,area1,347090.80233261763
9516,1540540506654,area2,673258.0625706761
9517,1540540507529,area1,347090.80777864717
9518,1540540507607,area2,673258.0748070392
9519,1540540508514,area2,673258.0850950944
9520,1540540508748,area1,347090.81830212893
9521,1540540509389,area1,347090.8217311528
9522,1540540509484,area2,673258.0970200464
9523,1540540510894,area1,347090.82802672486
9524,1540540510847,area2,673258.1142249778
9525,1540540511566,area2,673258.1215788289
9526,1540540511691,area1,347090.83123462
9527,1540540512504,area2,673258.1337967633
9528,1540540512722,area1,347090.83501780237
9529,1540540513191,area1,347090.83640652
9530,1540540513803,area2,673258.1503332033
9531,1540540514397,area1,347090.840818528
9532,1540540514835,area2,673258.1622755224
9533,1540540515507,area1,347090.8461657848
9534,1540540515866,area2,673258.1746055367
9535,1540540516383,area1,347090.8492790032
9536,1540540516633,area2,673258.184098876
9537,1540540517446,area1,347090.8540936336
9538,1540540517680,area2,673258.196240456
9539,1540540518324,area2,673258.2036189105
9540,1540540518623,area1,347090.8589841624
9541,1540540519734,area2,673258.2204664384
9542,1540540519906,area1,347090.86377212
9543,1540540520359,area1,347090.8653951664
9544,1540540520625,area2,673258.2321238553
9545,1540540521687,area2,673258.243941508
9546,1540540521875,area1,347090.8728200944
9547,1540540522406,area1,347090.87466224877
9548,1540540522812,area2,673258.257744481
9549,1540540523985,area2,673258.2715908297
9550,1540540524032,area1,347090.887154768
9551,1540540524455,area2,673258.2761944984
9552,1540540524595,area1,347090.8924789656
9553,1540540525283,area1,347090.8960006664
9554,1540540525439,area2,673258.2877058752
9555,1540540526314,area2,673258.2969741183
9556,1540540526923,area1,347090.9020152656
9557,1540540527613,area1,347090.9056366512
9558,1540540527707,area2,673258.3131856872
9559,1540540528425,area2,673258.3220992225
9560,1540540528832,area1,347090.912191964
9561,1540540529520,area2,673258.3341437288
9562,1540540530020,area1,347090.9188547104
9563,1540540530539,area2,673258.3466054952
9564,1540540530884,area1,347090.92171063443
9565,1540540531525,area2,673258.3582248479
9566,1540540531666,area1,347090.9244992008
9567,1540540532603,area1,347090.92946395284
9568,1540540533025,area2,673258.3772394946
9569,1540540533620,area1,347090.93356693763
9570,1540540533979,area2,673258.3865278207
9571,1540540536433,area2,673258.4163122785
9572,1540540534386,area1,347090.9368711568
9573,1540540534620,area2,673258.3954864553
9574,1540540535354,area1,347090.9414456648
9575,1540540535714,area2,673258.4069994529
9576,1540540536589,area1,347090.94620135677
9577,1540540537909,area2,673258.4325323552
9578,1540540537940,area1,347090.9518342888
9579,1540540538800,area1,347090.955187608
9580,1540540539878,area2,673258.4552828872
